run dir   /home/theo/cadex-jobs/stand-task-20260802-200109
task      /home/theo/cadex-jobs/stand-task-20260802-200109/stand-task.json
          sha256 21fe4171a5499258379e20e04a091fd33c8e1a04b5f2d19acb27264140a7f235
model     /home/theo/cadex-jobs/stand-task-20260802-200109/model-model.xml
          sha256 e3511559eeb3d5ab3a369852a6c7d7e5fcfc256a259f1f4f41284ffb2cef0ae1  (matches the bundle's own)
seeds     12  (0…11)   budget 600 steps
motors    10 × ±86 N·mm
wall      5.8 s

same-file-twice (ADR-103 §9)  stand8.best.cxpolicy  24 episodes, one worker
  PASS — the evaluator reloads the model per episode and its rows do not drift.

survival, and what it cost   (trainer r/s is what the trainer recorded; every other column is measured here)
  checkpoint                 iter    surv  steps µ   med    tilt    drift    reward  train r/s  termination mix
  stand8.002000.cxpolicy     11.5   11.2    0.0    2.7   25.0   34.8   32.3   36.2    0.0    6.2
  stand8.002050.cxpolicy     11.5   16.5    0.5    3.9   26.3   36.9   37.1   35.6    0.0    6.4
  stand8.002100.cxpolicy     12.5   26.2    0.3    5.1   33.5   40.5   39.6   32.2    0.0    6.4
  stand8.002150.cxpolicy     12.8   28.1    0.5    5.5   28.6   43.4   39.9   34.6    0.0    6.0
  stand8.002200.cxpolicy     20.7   38.6    0.5    6.7   29.2   52.5   37.0   34.4    0.0    5.9
  stand8.002250.cxpolicy     14.2   34.9    0.1    9.0   31.3   47.2   40.7   39.2    0.0    7.0
  stand8.002300.cxpolicy     14.0   33.9    0.3    7.7   35.7   46.9   40.9   40.7    0.0    8.8
  stand8.002350.cxpolicy     16.6   36.1    0.5    6.1   34.9   44.4   39.3   34.3    0.0    7.1
  stand8.002400.cxpolicy     15.4   32.5    0.1    5.7   33.3   38.6   31.5   32.2    0.0    5.8
  stand8.002450.cxpolicy     17.4   33.2    0.5    7.7   38.4   42.6   43.5   38.0    0.0    7.4
  stand8.cxpolicy            19.4   32.1    0.7    4.7   33.3   36.3   42.9   32.3    0.0    6.2

flags
  stand8.000650.cxpolicy   hazard 15: a motor's MEAN command is 52% of its limit
  stand8.000700.cxpolicy   hazard 15: a motor's MEAN command is 61% of its limit
  stand8.000750.cxpolicy   hazard 15: a motor is above 90% of its limit on 27% of frames
  stand8.000750.cxpolicy   hazard 15: a motor's MEAN command is 66% of its limit
  stand8.000800.cxpolicy   hazard 15: a motor is above 90% of its limit on 28% of frames
  stand8.000800.cxpolicy   hazard 15: a motor's MEAN command is 66% of its limit
  stand8.000850.cxpolicy   hazard 15: a motor is above 90% of its limit on 34% of frames
  stand8.000850.cxpolicy   hazard 15: a motor's MEAN command is 67% of its limit
  stand8.000900.cxpolicy   hazard 15: a motor is above 90% of its limit on 37% of frames
  stand8.000900.cxpolicy   hazard 15: a motor's MEAN command is 71% of its limit
  stand8.000950.cxpolicy   hazard 15: a motor is above 90% of its limit on 46% of frames
  stand8.000950.cxpolicy   hazard 15: a motor's MEAN command is 74% of its limit
  stand8.001000.cxpolicy   hazard 15: a motor is above 90% of its limit on 47% of frames
  stand8.001000.cxpolicy   hazard 15: a motor's MEAN command is 76% of its limit
  stand8.001050.cxpolicy   hazard 15: a motor is above 90% of its limit on 51% of frames
  stand8.001050.cxpolicy   hazard 15: a motor's MEAN command is 77% of its limit
  stand8.001100.cxpolicy   hazard 15: a motor is above 90% of its limit on 52% of frames
  stand8.001100.cxpolicy   hazard 15: a motor's MEAN command is 76% of its limit
